algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,auto,0.5,auto,1000,1000,100,1.0,1,1,74.2102751318,True,True,False,True
batch,auto,0.5,auto,1000,1000,200,1.0,1,1,68.9644651062,True,True,False,True
batch,auto,0.5,auto,1000,1000,500,1.0,1,1,63.9927529546,True,True,False,True
batch,auto,0.5,0.01,1000,1000,100,1.0,1,1,64.9652182074,True,True,False,True
batch,auto,0.5,0.005,1000,1000,200,1.0,1,1,62.132716846,True,True,False,True
batch,auto,0.5,0.002,1000,1000,500,1.0,1,1,60.4236868147,True,True,False,True
batch,auto,0.5,0.02,1000,1000,100,1.0,1,1,66.6889686413,True,True,False,True
batch,auto,0.5,0.01,1000,1000,200,1.0,1,1,63.2935657137,True,True,False,True
batch,auto,0.5,0.004,1000,1000,500,1.0,1,1,60.7751566663,True,True,False,True
batch,auto,0.5,0.05,1000,1000,100,1.0,1,1,71.0865100099,True,True,False,True
batch,auto,0.5,0.025,1000,1000,200,1.0,1,1,66.6100422487,True,True,False,True
batch,auto,0.5,0.01,1000,1000,500,1.0,1,1,62.5444097039,True,True,False,True
batch,0.01,0.5,auto,1000,1000,100,1.0,1,1,74.2968810475,True,True,False,True
batch,0.005,0.5,auto,1000,1000,200,1.0,1,1,69.0740079639,True,True,False,True
batch,0.002,0.5,auto,1000,1000,500,1.0,1,1,64.1240579324,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,100,1.0,1,1,65.0378447454,True,True,False,True
batch,0.005,0.5,0.005,1000,1000,200,1.0,1,1,62.3798628578,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,60.5312695124,True,True,False,True
batch,0.01,0.5,0.02,1000,1000,100,1.0,1,1,66.7782278152,True,True,False,True
batch,0.005,0.5,0.01,1000,1000,200,1.0,1,1,63.39760915,True,True,False,True
batch,0.002,0.5,0.004,1000,1000,500,1.0,1,1,60.8954586524,True,True,False,True
batch,0.01,0.5,0.05,1000,1000,100,1.0,1,1,71.2189741036,True,True,False,True
batch,0.005,0.5,0.025,1000,1000,200,1.0,1,1,66.7537703651,True,True,False,True
batch,0.002,0.5,0.01,1000,1000,500,1.0,1,1,62.826800983,True,True,False,True
batch,0.02,0.5,auto,1000,1000,100,1.0,1,1,74.3686050185,True,True,False,True
batch,0.01,0.5,auto,1000,1000,200,1.0,1,1,69.0666605368,True,True,False,True
batch,0.004,0.5,auto,1000,1000,500,1.0,1,1,64.0200463701,True,True,False,True
batch,0.02,0.5,0.01,1000,1000,100,1.0,1,1,65.0836285153,True,True,False,True
batch,0.01,0.5,0.005,1000,1000,200,1.0,1,1,62.3618907118,True,True,False,True
batch,0.004,0.5,0.002,1000,1000,500,1.0,1,1,60.4371903741,True,True,False,True
batch,0.02,0.5,0.02,1000,1000,100,1.0,1,1,66.799035897,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,200,1.0,1,1,63.4119513615,True,True,False,True
batch,0.004,0.5,0.004,1000,1000,500,1.0,1,1,60.8378295238,True,True,False,True
batch,0.02,0.5,0.05,1000,1000,100,1.0,1,1,71.3259835878,True,True,False,True
batch,0.01,0.5,0.025,1000,1000,200,1.0,1,1,66.7739460805,True,True,False,True
batch,0.004,0.5,0.01,1000,1000,500,1.0,1,1,62.6932859679,True,True,False,True
batch,0.05,0.5,auto,1000,1000,100,1.0,1,1,74.8211673189,True,True,False,True
batch,0.025,0.5,auto,1000,1000,200,1.0,1,1,69.368805468,True,True,False,True
batch,0.01,0.5,auto,1000,1000,500,1.0,1,1,64.1476373306,True,True,False,True
batch,0.05,0.5,0.01,1000,1000,100,1.0,1,1,65.4399090534,True,True,False,True
batch,0.025,0.5,0.005,1000,1000,200,1.0,1,1,62.5075988802,True,True,False,True
batch,0.01,0.5,0.002,1000,1000,500,1.0,1,1,60.4082439475,True,True,False,True
batch,0.05,0.5,0.02,1000,1000,100,1.0,1,1,67.1041601712,True,True,False,True
batch,0.025,0.5,0.01,1000,1000,200,1.0,1,1,63.7150610512,True,True,False,True
batch,0.01,0.5,0.004,1000,1000,500,1.0,1,1,61.007596168,True,True,False,True
batch,0.05,0.5,0.05,1000,1000,100,1.0,1,1,71.7201554027,True,True,False,True
batch,0.025,0.5,0.025,1000,1000,200,1.0,1,1,67.0761639987,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,500,1.0,1,1,62.9247319525,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,60.6538878505,True,True,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,64.8227094529,True,False,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,65.665943903,True,False,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,65.3172166007,True,True,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,66.3625466178,True,True,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,72.1734480854,True,False,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,77.6398742475,True,False,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,54.0466981689,False,True,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,55.5879783792,False,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,58.2992477235,False,False,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,70.0650534865,False,False,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,32.9358464144,False,True,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,33.8353454631,False,True,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,16.5085991184,False,False,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,60.6538878505,True,True,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,64.8227094529,True,False,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,65.665943903,True,False,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,65.3172166007,True,True,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,66.3625466178,True,True,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,72.1734480854,True,False,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,77.6398742475,True,False,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,54.0466981689,False,True,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,55.5879783792,False,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,58.2992477235,False,False,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,70.0650534865,False,False,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,32.9358464144,False,True,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,33.8353454631,False,True,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,16.5085991184,False,False,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,60.5312695124,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,2,60.5851953643,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,3,60.6101328008,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,4,60.5856796755,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,5,60.5546891774,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,6,60.5970666594,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,7,60.3680882189,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,8,60.4185129894,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,9,60.640013305,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,10,60.276343668,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,11,60.535710926,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,12,60.5187137539,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,13,60.4383928182,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,14,60.6514527488,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,15,60.5884945822,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,16,60.2014970107,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,17,60.3062412478,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,18,60.4058310811,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,19,60.3080767279,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,20,60.4171426494,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,21,61.4848829943,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,22,60.2957560544,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,23,60.241788491,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,24,61.0962611668,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,25,60.8721425989,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,26,60.6091582213,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,27,60.5785595506,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,28,60.6199234047,True,True,False,True
