algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,37.2311109366,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,2,37.3156081389,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,3,37.3307883396,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,4,37.1312779769,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,5,37.1770984181,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,6,37.3126384352,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,7,37.219828219,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,8,37.3034389236,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,9,37.1467605782,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,10,37.0291001356,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,11,37.13262687,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,12,37.3271364831,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,13,37.0773814162,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,14,37.0212702549,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,15,37.1378959575,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,16,37.0540137177,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,17,37.0211149434,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,18,37.3855813589,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,19,37.0848996871,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,20,37.1377697108,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,21,37.3693087927,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,22,37.3486772011,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,23,37.1871986535,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,24,37.1157776537,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,25,37.2793302538,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,26,37.1980326285,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,27,37.1971329764,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,28,37.2554705368,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,29,37.3337390762,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,30,37.2143230829,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,31,36.9541089286,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,32,37.2945968783,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,33,37.2477185535,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,34,37.1946461817,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,35,37.1500855848,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,36,37.2547361465,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,37,37.3692251387,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,38,37.3957627062,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,39,37.2802515934,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,40,37.4038390206,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,41,37.1701923198,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,42,37.2114394771,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,43,37.1407889959,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,44,37.2708435889,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,45,37.1807707108,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,46,37.1658781192,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,47,37.3414094092,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,48,37.1319704407,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,49,37.1602446852,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,50,37.3341071695,True,True,False,True
