algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,95.6532550997,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,2,95.7060397693,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,3,95.2981499468,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,4,95.5386332494,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,5,95.7811520243,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,6,95.3794125161,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,7,95.4597297551,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,8,95.1649305321,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,9,95.677078721,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,10,95.312533831,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,11,94.4929944259,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,12,95.6760216639,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,13,95.2805481804,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,14,95.4807375799,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,15,94.6496215628,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,16,94.0270459255,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,17,94.8906552883,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,18,95.3208942293,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,19,94.6014788681,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,20,95.4080696409,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,21,95.276117606,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,22,95.9448715192,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,23,95.1177486465,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,24,95.0224317889,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,25,95.3080727471,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,26,94.8512368142,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,27,95.3212587566,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,28,95.568561142,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,29,95.5565553162,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,30,95.1099750346,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,31,95.7485949126,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,32,95.5796159036,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,33,95.3744776916,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,34,95.6001382643,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,35,95.7000147447,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,36,94.8529643436,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,37,96.0376316169,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,38,96.1056171014,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,39,94.7870037266,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,40,94.7213704417,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,41,95.2355249802,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,42,95.7592893006,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,43,95.4478993839,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,44,96.6606099411,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,45,95.520411095,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,46,96.028746579,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,47,95.4054135624,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,48,95.2112722087,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,49,96.0092309411,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,50,95.4158981637,True,True,False,True
