score,model_base_alpha,model_base_eta,num_topics
0.25220884267652,auto,auto,100
0.41952603936871674,auto,auto,200
0.43329545454545454,auto,auto,500
0.29677922771672771,auto,1,100
0.31595308454576188,auto,1,200
0.42716059231576969,auto,1,500
0.28996665321393583,auto,2,100
0.29246207374496846,auto,2,200
0.38354149322899322,auto,2,500
0.24857674596645185,auto,5,100
0.34267110154338415,auto,5,200
0.32532242063492067,auto,5,500
0.28380663046104215,1,auto,100
0.3827091413488472,1,auto,200
0.42187347374847378,1,auto,500
0.33705751302790776,1,1,100
0.29453734786455377,1,1,200
0.39190026272746858,1,1,500
0.31929410680609527,1,2,100
0.35233334901813163,1,2,200
0.44565135046113308,1,2,500
0.27356739275217534,1,5,100
0.28381785457964953,1,5,200
0.34494248513055725,1,5,500
0.33353815628815625,2,auto,100
0.30169600974361038,2,auto,200
0.37304473304473301,2,auto,500
0.26331174304412625,2,1,100
0.29982988131149896,2,1,200
0.42311680680430686,2,1,500
0.30522542150831622,2,2,100
0.25723026092974938,2,2,200
0.34129780268750853,2,2,500
0.2486420370350324,2,5,100
0.25985494657262392,2,5,200
0.33317245254745254,2,5,500
0.30624724690514171,5,auto,100
0.33304257361706213,5,auto,200
0.43444858246328832,5,auto,500
0.24367234481205066,5,1,100
0.32469521560311032,5,1,200
0.39674991488690337,5,1,500
0.27741251803751804,5,2,100
0.29644413335202807,5,2,200
0.38618321371610848,5,2,500
0.21897717886688475,5,5,100
0.2540863854282972,5,5,200
0.36857841573631045,5,5,500
