score,model_base_alpha,model_base_eta,num_topics
0.29342682608200343,auto,auto,100
0.3355275725577499,auto,auto,200
0.38962625201595785,auto,auto,500
0.27723457824985626,auto,1,100
0.31837226294946885,auto,1,200
0.39586660780739724,auto,1,500
0.28869974760492495,auto,2,100
0.32285608758847084,auto,2,200
0.36635594557362294,auto,2,500
0.23139419314476523,auto,5,100
0.28373006121845129,auto,5,200
0.34755093114360847,auto,5,500
0.29182464354232091,1,auto,100
0.33469423922441655,1,auto,200
0.38962625201595785,1,auto,500
0.28348457824985623,1,1,100
0.32776939359659946,1,1,200
0.39586660780739724,1,1,500
0.28869974760492495,1,2,100
0.31243942092180416,1,2,200
0.36635594557362294,1,2,500
0.23115113758920963,1,5,100
0.28354066727905736,1,5,200
0.34011607361936302,1,5,500
0.27569191951969751,2,auto,100
0.33278985924206511,2,auto,200
0.39235299422799425,2,auto,500
0.27592415256443054,2,1,100
0.32516010559488817,2,1,200
0.38815524495284554,2,1,500
0.26126615959122013,2,2,100
0.33316858758847079,2,2,200
0.37404533951301688,2,2,500
0.23531933050740256,2,5,100
0.26590350363860427,2,5,200
0.34681206474684745,2,5,500
0.28315799804770397,5,auto,100
0.33688998315197166,5,auto,200
0.37383911227661226,5,auto,500
0.31125256243715155,5,1,100
0.33853951417650269,5,1,200
0.37462219357439946,5,1,500
0.30156657920085028,5,2,100
0.32065382824650557,5,2,200
0.38875897129186604,5,2,500
0.22704519966748221,5,5,100
0.30088113017873075,5,5,200
0.36303463710912559,5,5,500
