sha,issues,change_type,name
0005115e42a54fed2b0c7e28bdcd0a5b8610fae4,1691,A,src/java/test/org/apache/zookeeper/server/quorum/StandaloneDisabledTest.java
0018d6c688a5a562aaf318ce399e639e300c4430,2173,M,bin/zkServer.sh
0018d6c688a5a562aaf318ce399e639e300c4430,2173,M,CHANGES.txt
0031e59ed0db229603399bda95f453b1f3cbb4eb,137,M,CHANGES.txt
0031e59ed0db229603399bda95f453b1f3cbb4eb,137,M,src/java/main/org/apache/zookeeper/ClientCnxn.java
0031e59ed0db229603399bda95f453b1f3cbb4eb,137,M,src/java/main/org/apache/zookeeper/ZooKeeper.java
0091b361402dd9f2a4f581200b6351c3a076d8d3,413,M,CHANGES.txt
0091b361402dd9f2a4f581200b6351c3a076d8d3,413,M,src/c/tests/TestOperations.cc
0091b361402dd9f2a4f581200b6351c3a076d8d3,413,M,src/c/tests/TestWatchers.cc
011c4652db2d7167dc5a071c672605a3822fba80,1061,M,bin/zkServer.sh
011c4652db2d7167dc5a071c672605a3822fba80,1061,M,CHANGES.txt
011c4652db2d7167dc5a071c672605a3822fba80,1061,M,conf/zoo_sample.cfg
011faa70ac374483204b8018d8310b3db2743a92,1564,M,CHANGES.txt
011faa70ac374483204b8018d8310b3db2743a92,1564,M,src/java/test/org/apache/zookeeper/test/ClientBase.java
011faa70ac374483204b8018d8310b3db2743a92,1564,M,src/java/test/org/apache/zookeeper/test/ClientTest.java
011faa70ac374483204b8018d8310b3db2743a92,1564,M,src/java/test/org/apache/zookeeper/test/QuorumBase.java
011faa70ac374483204b8018d8310b3db2743a92,1564,M,src/java/test/org/apache/zookeeper/test/QuorumUtil.java
0130ef91ba66c5fc93c4e731d353584d667dcd75,1558,M,CHANGES.txt
0130ef91ba66c5fc93c4e731d353584d667dcd75,1558,M,src/java/main/org/apache/zookeeper/server/quorum/Leader.java
0130ef91ba66c5fc93c4e731d353584d667dcd75,1558,M,src/java/main/org/apache/zookeeper/server/SyncRequestProcessor.java
0130ef91ba66c5fc93c4e731d353584d667dcd75,1558,M,src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java
0130ef91ba66c5fc93c4e731d353584d667dcd75,1558,M,src/java/test/org/apache/zookeeper/server/quorum/Zab1_0Test.java
015387f4aeafd4e82a60a9ad3a1de79500262b55,642,M,CHANGES.txt
015387f4aeafd4e82a60a9ad3a1de79500262b55,642,M,src/c/src/zookeeper.c
0174206cb69790530f68275c7fece96e13c51cab,1949,M,CHANGES.txt
0174206cb69790530f68275c7fece96e13c51cab,1949,M,src/recipes/build-recipes.xml
01ddb5bd8f810b5acf28aecc6d5490a6a3da759e,460,M,build.xml
01ddb5bd8f810b5acf28aecc6d5490a6a3da759e,460,M,CHANGES.txt
01e08b661d33c0e4c3e3daf45f74ca35d9c2decc,107,M,src/c/Makefile.am
02098726fd2594b6b130a701f2e4b2f791ceab95,1315,M,CHANGES.txt
02098726fd2594b6b130a701f2e4b2f791ceab95,1315,M,src/c/src/zookeeper.c
0265c524df2547616df3cd96c38fd4d4a5c2e9a5,1338,M,CHANGES.txt
0265c524df2547616df3cd96c38fd4d4a5c2e9a5,1338,M,src/java/main/org/apache/zookeeper/OpResult.java
0265c524df2547616df3cd96c38fd4d4a5c2e9a5,1338,M,src/java/test/org/apache/zookeeper/test/MultiTransactionTest.java
029d6299e006ca697c3d6f9953b3194a7c33bf19,2182,A,src/java/test/org/apache/zookeeper/server/quorum/ReconfigFailureCasesTest.java
029d6299e006ca697c3d6f9953b3194a7c33bf19,2182,A,src/java/test/org/apache/zookeeper/test/ClientRetryTest.java
029d6299e006ca697c3d6f9953b3194a7c33bf19,2182,A,src/java/test/org/apache/zookeeper/test/WatchEventWhenAutoResetTest.java
