score,model_base_alpha,model_base_eta,num_topics
0.29385838550183957,1,1,100
0.35185228729796975,1,1,200
0.35036386547528603,1,1,500
0.29351398369504217,1,2,100
0.3236923862272052,1,2,200
0.35651654906529562,1,2,500
0.26482806113725332,1,5,100
0.30715149134369191,1,5,200
0.34589621922491004,1,5,500
0.30295335274443913,2,1,100
0.31734917821268793,2,1,200
0.36332056213671809,2,1,500
0.3131662596147276,2,2,100
0.33655097610529366,2,2,200
0.38362404386081272,2,2,500
0.27022125970593941,2,5,100
0.29849635817602393,2,5,200
0.33129527544569326,2,5,500
0.29374357459315681,5,1,100
0.33544661775859547,5,1,200
0.3575585742020283,5,1,500
0.26947873389377569,5,2,100
0.35660085813289161,5,2,200
0.35707452559820246,5,2,500
0.30086935657966302,5,5,100
0.30295431897103209,5,5,200
0.35469802558939051,5,5,500
