score,model_base_alpha,model_base_eta,num_topics
0.40190294673372756,auto,auto,100
0.43595572326718285,auto,auto,200
0.45863500632858034,auto,auto,500
0.41839208714052606,auto,1,100
0.44320601558314371,auto,1,200
0.49123771442487468,auto,1,500
0.3833221236067445,auto,2,100
0.44788005830482819,auto,2,200
0.43237724950879103,auto,2,500
0.39398253881432421,auto,5,100
0.41092141845118557,auto,5,200
0.45785047732537115,auto,5,500
0.41374557480557511,1,auto,100
0.4709327559663225,1,auto,200
0.47124379937092792,1,auto,500
0.38837652523740784,1,1,100
0.44461189418469771,1,1,200
0.44407635663835276,1,1,500
0.35643286140799368,1,2,100
0.45248752511199414,1,2,200
0.46200887555078302,1,2,500
0.38558969322438996,1,5,100
0.41751439986093963,1,5,200
0.46142739138232508,1,5,500
0.41358867814288308,2,auto,100
0.48605841907083885,2,auto,200
0.44493851119193983,2,auto,500
0.41316887624250864,2,1,100
0.44554351792209901,2,1,200
0.47242332702845358,2,1,500
0.41643750676075481,2,2,100
0.40959449067057341,2,2,200
0.43367870487963694,2,2,500
0.35123023235641931,2,5,100
0.43404968340963812,2,5,200
0.44521914943583019,2,5,500
0.39059697569513097,5,auto,100
0.42166471745993794,5,auto,200
0.46916232423397197,5,auto,500
0.38128637678877625,5,1,100
0.44693917783760662,5,1,200
0.45490824436064015,5,1,500
0.416389601712358,5,2,100
0.41124842899706421,5,2,200
0.48032635899070436,5,2,500
0.34763339200335514,5,5,100
0.38113701290312424,5,5,200
0.42887593930475715,5,5,500
