metadata,unique_words,total_words
1946,22,27
1945,16,23
1252,7,8
1253,13,16
1799,85,252
1798,28,68
716,15,20
1791,26,48
1797,29,47
1796,20,32
1795,62,115
1490,14,34
1397,11,21
1493,23,35
1494,17,22
1495,42,67
1496,99,283
1497,36,81
1499,17,19
1700,106,324
1701,20,33
1702,50,73
1706,12,14
1062,29,40
1667,28,54
1663,10,13
1662,29,45
1125,210,1003
1089,14,16
271,14,26
1408,11,18
1019,12,16
1403,17,19
1400,84,138
1406,27,38
1236,29,40
1339,103,1858
1338,10,15
1232,67,101
1335,27,40
1334,43,112
1337,8,10
1336,46,55
1238,14,16
1239,38,47
1333,50,147
107,14,18
1849,5,5
1843,20,43
1241,10,12
1536,12,15
1535,24,38
642,59,76
1533,7,11
1247,33,43
1246,59,114
1538,22,24
1909,46,60
1906,66,146
1904,69,282
1900,192,1178
1901,51,217
1622,32,59
1620,49,183
1627,20,32
1625,20,50
1624,60,114
1629,20,47
1628,28,39
556,23,30
1050,21,23
1057,95,153
1191,39,56
1190,13,17
1193,16,25
1192,33,74
1696,67,119
1697,87,176
1695,18,25
1759,58,114
1691,14,18
1756,10,14
1755,34,55
1754,6,6
1753,35,61
1751,40,64
1750,60,223
1176,41,55
1175,14,27
1174,33,40
1170,16,18
1270,30,46
1271,53,80
1273,31,52
1179,72,404
1277,47,61
1888,19,23
1887,7,7
1883,79,264
1578,87,337
1474,22,38
1573,51,81
1572,9,12
1478,38,60
1576,79,242
1575,8,16
1305,22,47
1307,39,126
1830,12,17
1831,8,10
1836,22,31
1837,58,445
1834,12,19
1835,45,77
1839,9,13
1373,57,102
1374,60,97
1377,12,16
1379,46,87
1758,8,8
1229,29,45
1953,11,24
827,15,20
1699,17,30
1483,35,55
1481,19,21
1489,81,111
87,17,23
1713,16,23
1715,3,6
1714,13,21
1719,38,51
1718,3,3
1659,11,13
1657,81,110
1655,11,11
1632,13,17
1384,30,41
1666,22,34
1386,51,89
1437,23,26
1432,12,18
1433,30,99
1430,30,41
1431,15,16
1380,25,36
1439,37,57
1638,10,17
1222,17,22
1221,37,52
1220,49,155
1340,42,77
1342,9,9
1343,18,33
1344,25,41
1345,39,54
1346,36,43
1877,19,30
1874,10,15
1873,43,113
1870,56,97
1459,29,44
1878,45,144
973,19,40
1503,24,30
1501,7,7
1505,96,151
1509,48,73
1918,20,32
1911,15,22
1910,27,34
1913,39,48
1992,29,37
1282,43,80
1974,20,30
657,17,19
1968,10,16
1969,22,25
1619,15,20
1964,37,68
1966,62,95
1615,9,15
1613,13,16
1610,32,44
1471,26,31
1048,18,42
1683,49,120
1769,30,35
1766,29,47
1269,31,54
1268,57,75
1147,93,165
1263,17,17
1262,39,49
1264,29,69
1540,21,27
1465,57,98
1466,13,18
1317,11,15
1316,7,11
1315,7,13
1311,32,132
1319,109,167
1318,23,38
1821,18,59
1388,45,96
1389,20,23
1387,31,48
927,17,22
1923,19,26
1926,17,30
442,12,16
1331,9,11
1645,20,30
1647,17,29
1646,117,438
1641,29,41
1643,68,88
1642,28,35
1725,22,28
1648,14,19
1208,54,300
1427,26,32
1583,39,50
1581,4,6
1584,10,14
1585,11,14
732,23,28
1212,45,74
1358,13,17
1216,30,39
1214,75,136
1353,40,54
1352,34,100
1351,54,106
1219,36,70
1357,75,197
786,47,182
1355,51,83
1354,59,88
1861,26,45
1860,22,35
1863,90,172
1862,116,597
1864,62,151
1867,10,14
1728,16,22
1454,54,122
1451,26,44
1514,50,168
1510,56,88
1513,73,424
1844,19,30
1390,13,19
1815,13,19
1810,6,7
1811,21,36
1812,18,33
877,50,65
1819,22,32
899,19,42
1979,11,15
1601,20,23
1603,19,33
1602,36,44
1973,30,35
1972,30,43
1606,30,47
1789,45,88
1781,52,89
1783,14,23
1786,55,98
1774,59,587
1771,16,20
1770,19,107
1773,23,66
1779,15,24
1778,4,5
1679,8,8
1670,38,46
1672,18,25
1673,33,128
1096,56,68
1292,13,19
1551,25,31
1553,22,31
1552,20,27
1557,19,31
1419,117,532
1411,42,85
1412,58,107
1413,54,92
1414,50,134
1417,18,23
1322,22,25
1323,25,50
1321,42,54
1326,28,36
1327,8,11
1324,7,7
1328,33,52
1858,92,261
1975,18,20
1851,22,34
1852,31,54
1857,10,10
1256,7,13
1521,26,48
1522,32,88
1395,44,70
1933,51,219
1939,34,98
1938,10,13
1986,20,24
1984,33,66
1982,25,37
1981,21,21
1730,15,19
1733,33,67
1732,19,25
1988,8,8
751,16,22
756,47,66
1597,42,316
1596,45,117
1591,30,40
1590,38,74
1598,26,39
1189,34,62
1184,18,22
1185,16,28
1182,24,39
1181,23,32
721,46,85
1744,30,52
1746,14,21
1161,20,22
602,17,19
1206,42,68
1201,10,10
1200,11,14
1203,52,76
1894,28,41
1895,15,19
1897,70,183
1891,13,21
1440,24,35
1560,59,81
1293,7,9
1562,37,51
1291,24,40
1564,37,76
1297,22,30
1294,83,176
1448,57,123
1163,23,37
1382,116,319
1367,84,214
1361,77,113
