step,action,action_type,documents,experiment,total_seconds
0,train,batch,689,release-file,323.0
1,infer,issues,164,release-file,0.0
2,infer,source,689,release-file,5.0
3,train,batch,574,changeset-True-True-False-True,2007.0
4,infer,issues,164,changeset-True-True-False-True,0.0
5,infer,source,689,changeset-True-True-False-True,6.0
6,train,online,399,temporal,337.0
7,infer,issue,1,temporal,0.0
8,infer,source,439,temporal,5.0
9,train,online,1,temporal,10.0
10,infer,issue,1,temporal,0.0
11,infer,source,439,temporal,5.0
12,train,online,1,temporal,42.0
13,infer,issue,1,temporal,0.0
14,infer,source,586,temporal,7.0
15,train,online,1,temporal,10.0
16,infer,issue,1,temporal,0.0
17,infer,source,586,temporal,7.0
18,train,online,1,temporal,10.0
19,infer,issue,1,temporal,0.0
20,infer,source,586,temporal,6.0
21,train,online,1,temporal,10.0
22,infer,issue,1,temporal,1.0
23,infer,source,586,temporal,5.0
24,train,online,1,temporal,11.0
25,infer,issue,1,temporal,0.0
26,infer,source,586,temporal,6.0
27,train,online,1,temporal,10.0
28,infer,issue,1,temporal,1.0
29,infer,source,588,temporal,5.0
30,train,online,1,temporal,11.0
31,infer,issue,1,temporal,0.0
32,infer,source,589,temporal,6.0
33,train,online,1,temporal,10.0
34,infer,issue,1,temporal,0.0
35,infer,source,589,temporal,6.0
36,train,online,1,temporal,10.0
37,infer,issue,1,temporal,0.0
38,infer,source,589,temporal,7.0
39,train,online,1,temporal,10.0
40,infer,issue,1,temporal,0.0
41,infer,source,589,temporal,6.0
42,train,online,1,temporal,10.0
43,infer,issue,1,temporal,0.0
44,infer,source,589,temporal,7.0
45,train,online,1,temporal,11.0
46,infer,issue,1,temporal,0.0
47,infer,source,589,temporal,6.0
48,train,online,1,temporal,10.0
49,infer,issue,1,temporal,0.0
50,infer,source,589,temporal,7.0
51,train,online,1,temporal,10.0
52,infer,issue,1,temporal,0.0
53,infer,source,589,temporal,8.0
54,train,online,1,temporal,11.0
55,infer,issue,1,temporal,0.0
56,infer,source,589,temporal,8.0
57,train,online,1,temporal,10.0
58,infer,issue,1,temporal,0.0
59,infer,source,589,temporal,7.0
60,train,online,1,temporal,11.0
61,infer,issue,1,temporal,0.0
62,infer,source,589,temporal,6.0
63,train,online,1,temporal,12.0
64,infer,issue,1,temporal,0.0
65,infer,source,589,temporal,6.0
66,train,online,1,temporal,11.0
67,infer,issue,1,temporal,0.0
68,infer,source,589,temporal,6.0
69,train,online,1,temporal,11.0
70,infer,issue,1,temporal,0.0
71,infer,source,589,temporal,6.0
72,train,online,1,temporal,10.0
73,infer,issue,1,temporal,0.0
74,infer,source,589,temporal,6.0
75,train,online,1,temporal,10.0
76,infer,issue,1,temporal,0.0
77,infer,source,589,temporal,6.0
78,train,online,1,temporal,11.0
79,infer,issue,1,temporal,0.0
80,infer,source,589,temporal,6.0
81,train,online,1,temporal,10.0
82,infer,issue,1,temporal,0.0
83,infer,source,590,temporal,6.0
84,train,online,1,temporal,10.0
85,infer,issue,1,temporal,0.0
86,infer,source,590,temporal,6.0
87,train,online,1,temporal,10.0
88,infer,issue,1,temporal,0.0
89,infer,source,590,temporal,6.0
90,train,online,1,temporal,11.0
91,infer,issue,1,temporal,0.0
92,infer,source,590,temporal,6.0
93,train,online,1,temporal,10.0
94,infer,issue,1,temporal,0.0
95,infer,source,591,temporal,6.0
96,train,online,1,temporal,11.0
97,infer,issue,1,temporal,0.0
98,infer,source,593,temporal,6.0
99,train,online,1,temporal,10.0
100,infer,issue,1,temporal,0.0
101,infer,source,593,temporal,6.0
102,train,online,1,temporal,10.0
103,infer,issue,1,temporal,0.0
104,infer,source,593,temporal,6.0
105,train,online,1,temporal,11.0
106,infer,issue,1,temporal,0.0
