step,action,action_type,documents,experiment,total_seconds
0,train,batch,689,release-file,672.0
1,infer,issues,164,release-file,0.0
2,infer,source,5,release-file,184.0
3,train,batch,574,changeset-True-True-False-True,2489.0
4,infer,issues,164,changeset-True-True-False-True,0.0
5,infer,source,5,changeset-True-True-False-True,257.0
6,train,online,399,temporal,345.0
7,infer,issue,1,temporal,0.0
8,infer,source,4,temporal,78.0
9,train,online,1,temporal,10.0
10,infer,issue,1,temporal,0.0
11,infer,source,4,temporal,79.0
12,train,online,1,temporal,44.0
13,infer,issue,1,temporal,0.0
14,infer,source,4,temporal,93.0
15,train,online,1,temporal,10.0
16,infer,issue,1,temporal,0.0
17,infer,source,4,temporal,95.0
18,train,online,1,temporal,11.0
19,infer,issue,1,temporal,0.0
20,infer,source,5,temporal,97.0
21,train,online,1,temporal,10.0
22,infer,issue,1,temporal,0.0
23,infer,source,5,temporal,94.0
24,train,online,1,temporal,10.0
25,infer,issue,1,temporal,0.0
26,infer,source,5,temporal,93.0
27,train,online,1,temporal,11.0
28,infer,issue,1,temporal,0.0
29,infer,source,5,temporal,94.0
30,train,online,1,temporal,10.0
31,infer,issue,1,temporal,0.0
32,infer,source,5,temporal,94.0
33,train,online,1,temporal,10.0
34,infer,issue,1,temporal,0.0
35,infer,source,5,temporal,95.0
36,train,online,1,temporal,10.0
37,infer,issue,1,temporal,0.0
38,infer,source,5,temporal,94.0
39,train,online,1,temporal,10.0
40,infer,issue,1,temporal,0.0
41,infer,source,5,temporal,95.0
42,train,online,1,temporal,10.0
43,infer,issue,1,temporal,0.0
44,infer,source,5,temporal,95.0
45,train,online,1,temporal,10.0
46,infer,issue,1,temporal,0.0
47,infer,source,5,temporal,95.0
48,train,online,1,temporal,10.0
49,infer,issue,1,temporal,0.0
50,infer,source,5,temporal,96.0
51,train,online,1,temporal,10.0
52,infer,issue,1,temporal,0.0
53,infer,source,5,temporal,95.0
54,train,online,1,temporal,10.0
55,infer,issue,1,temporal,0.0
56,infer,source,5,temporal,95.0
57,train,online,1,temporal,11.0
58,infer,issue,1,temporal,0.0
59,infer,source,5,temporal,95.0
60,train,online,1,temporal,10.0
61,infer,issue,1,temporal,0.0
62,infer,source,5,temporal,96.0
63,train,online,1,temporal,11.0
64,infer,issue,1,temporal,0.0
65,infer,source,5,temporal,96.0
66,train,online,1,temporal,11.0
67,infer,issue,1,temporal,0.0
68,infer,source,5,temporal,96.0
69,train,online,1,temporal,11.0
70,infer,issue,1,temporal,0.0
71,infer,source,5,temporal,99.0
72,train,online,1,temporal,11.0
73,infer,issue,1,temporal,0.0
74,infer,source,5,temporal,96.0
75,train,online,1,temporal,10.0
76,infer,issue,1,temporal,0.0
77,infer,source,5,temporal,96.0
78,train,online,1,temporal,10.0
79,infer,issue,1,temporal,0.0
80,infer,source,5,temporal,96.0
81,train,online,1,temporal,10.0
82,infer,issue,1,temporal,0.0
83,infer,source,5,temporal,96.0
84,train,online,1,temporal,10.0
85,infer,issue,1,temporal,0.0
86,infer,source,5,temporal,96.0
87,train,online,1,temporal,10.0
88,infer,issue,1,temporal,0.0
89,infer,source,5,temporal,96.0
90,train,online,1,temporal,10.0
91,infer,issue,1,temporal,0.0
92,infer,source,5,temporal,96.0
93,train,online,1,temporal,10.0
94,infer,issue,1,temporal,0.0
95,infer,source,5,temporal,97.0
96,train,online,1,temporal,10.0
97,infer,issue,1,temporal,0.0
98,infer,source,5,temporal,97.0
99,train,online,1,temporal,11.0
100,infer,issue,1,temporal,0.0
101,infer,source,5,temporal,97.0
102,train,online,1,temporal,10.0
103,infer,issue,1,temporal,0.0
104,infer,source,5,temporal,97.0
105,train,online,1,temporal,10.0
106,infer,issue,1,temporal,1.0
107,infer,source,5,temporal,97.0
108,train,online,1,temporal,10.0
109,infer,issue,1,temporal,0.0
110,infer,source,5,temporal,98.0
111,train,online,1,temporal,11.0
112,infer,issue,1,temporal,0.0
113,infer,source,5,temporal,98.0
114,train,online,1,temporal,10.0
115,infer,issue,1,temporal,0.0
116,infer,source,5,temporal,98.0
117,infer,issue,1,temporal,0.0
118,infer,source,5,temporal,99.0
119,train,online,1,temporal,10.0
120,infer,issue,1,temporal,0.0
121,infer,source,5,temporal,101.0
122,train,online,1,temporal,13.0
123,infer,issue,1,temporal,0.0
124,infer,source,5,temporal,101.0
125,train,online,1,temporal,10.0
126,infer,issue,1,temporal,0.0
127,infer,source,5,temporal,100.0
128,train,online,1,temporal,10.0
129,infer,issue,1,temporal,0.0
130,infer,source,5,temporal,100.0
131,train,online,1,temporal,11.0
132,infer,issue,1,temporal,0.0
133,infer,source,5,temporal,100.0
134,train,online,1,temporal,10.0
135,infer,issue,1,temporal,0.0
136,infer,source,5,temporal,101.0
137,train,online,1,temporal,12.0
138,infer,issue,1,temporal,0.0
139,infer,source,5,temporal,100.0
140,train,online,1,temporal,10.0
141,infer,issue,1,temporal,1.0
142,infer,source,5,temporal,100.0
143,train,online,1,temporal,11.0
144,infer,issue,1,temporal,0.0
145,infer,source,5,temporal,101.0
146,train,online,1,temporal,10.0
147,infer,issue,1,temporal,0.0
148,infer,source,5,temporal,101.0
149,train,online,1,temporal,11.0
150,infer,issue,1,temporal,0.0
151,infer,source,5,temporal,101.0
152,train,online,1,temporal,10.0
153,infer,issue,1,temporal,0.0
154,infer,source,5,temporal,101.0
155,train,online,1,temporal,12.0
156,infer,issue,1,temporal,0.0
157,infer,source,5,temporal,101.0
158,train,online,1,temporal,11.0
159,infer,issue,1,temporal,0.0
160,infer,source,5,temporal,102.0
161,train,online,1,temporal,10.0
162,infer,issue,1,temporal,0.0
163,infer,source,5,temporal,102.0
164,train,online,1,temporal,10.0
165,infer,issue,1,temporal,0.0
166,infer,source,5,temporal,103.0
167,train,online,1,temporal,10.0
168,infer,issue,1,temporal,0.0
169,infer,source,5,temporal,106.0
170,train,online,1,temporal,11.0
171,infer,issue,1,temporal,0.0
172,infer,source,5,temporal,102.0
173,train,online,1,temporal,10.0
174,infer,issue,1,temporal,0.0
175,infer,source,5,temporal,101.0
176,train,online,1,temporal,10.0
177,infer,issue,1,temporal,0.0
178,infer,source,5,temporal,102.0
179,train,online,1,temporal,10.0
180,infer,issue,1,temporal,0.0
181,infer,source,5,temporal,102.0
182,train,online,1,temporal,10.0
183,infer,issue,1,temporal,0.0
184,infer,source,5,temporal,102.0
185,train,online,1,temporal,10.0
186,infer,issue,1,temporal,0.0
187,infer,source,5,temporal,102.0
188,train,online,1,temporal,10.0
189,infer,issue,1,temporal,0.0
190,infer,source,5,temporal,102.0
191,train,online,1,temporal,10.0
192,infer,issue,1,temporal,0.0
193,infer,source,5,temporal,102.0
194,train,online,1,temporal,10.0
195,infer,issue,1,temporal,0.0
196,infer,source,5,temporal,103.0
197,train,online,1,temporal,10.0
198,infer,issue,1,temporal,0.0
199,infer,source,5,temporal,103.0
200,train,online,1,temporal,10.0
201,infer,issue,1,temporal,0.0
202,infer,source,5,temporal,102.0
203,train,online,1,temporal,11.0
204,infer,issue,1,temporal,0.0
205,infer,source,5,temporal,102.0
206,train,online,1,temporal,11.0
207,infer,issue,1,temporal,0.0
208,infer,source,5,temporal,103.0
209,train,online,1,temporal,10.0
210,infer,issue,1,temporal,0.0
211,infer,source,5,temporal,103.0
212,train,online,1,temporal,10.0
213,infer,issue,1,temporal,0.0
214,infer,source,5,temporal,104.0
215,train,online,1,temporal,11.0
216,infer,issue,1,temporal,0.0
217,infer,source,5,temporal,107.0
218,train,online,1,temporal,10.0
219,infer,issue,1,temporal,0.0
220,infer,source,5,temporal,103.0
221,train,online,1,temporal,10.0
222,infer,issue,1,temporal,1.0
223,infer,source,5,temporal,102.0
224,train,online,1,temporal,10.0
225,infer,issue,1,temporal,0.0
226,infer,source,5,temporal,103.0
227,train,online,1,temporal,10.0
228,infer,issue,1,temporal,0.0
229,infer,source,5,temporal,103.0
230,train,online,1,temporal,10.0
231,infer,issue,1,temporal,0.0
232,infer,source,5,temporal,103.0
233,train,online,1,temporal,10.0
234,infer,issue,1,temporal,0.0
235,infer,source,5,temporal,103.0
236,train,online,1,temporal,10.0
237,infer,issue,1,temporal,1.0
238,infer,source,5,temporal,103.0
239,train,online,1,temporal,11.0
240,infer,issue,1,temporal,0.0
241,infer,source,5,temporal,104.0
242,train,online,1,temporal,10.0
243,infer,issue,1,temporal,0.0
244,infer,source,5,temporal,105.0
245,train,online,1,temporal,11.0
246,infer,issue,1,temporal,0.0
247,infer,source,5,temporal,105.0
248,train,online,1,temporal,10.0
249,infer,issue,1,temporal,0.0
250,infer,source,5,temporal,105.0
251,train,online,1,temporal,10.0
252,infer,issue,1,temporal,0.0
253,infer,source,5,temporal,105.0
254,train,online,1,temporal,10.0
255,infer,issue,1,temporal,0.0
256,infer,source,5,temporal,105.0
257,train,online,1,temporal,11.0
258,infer,issue,1,temporal,0.0
259,infer,source,5,temporal,105.0
260,train,online,1,temporal,11.0
261,infer,issue,1,temporal,0.0
262,infer,source,5,temporal,109.0
263,train,online,1,temporal,10.0
264,infer,issue,1,temporal,0.0
265,infer,source,5,temporal,110.0
266,train,online,1,temporal,10.0
267,infer,issue,1,temporal,0.0
268,infer,source,5,temporal,106.0
269,train,online,1,temporal,11.0
270,infer,issue,1,temporal,0.0
271,infer,source,5,temporal,107.0
272,train,online,1,temporal,10.0
273,infer,issue,1,temporal,0.0
274,infer,source,5,temporal,107.0
275,train,online,1,temporal,10.0
276,infer,issue,1,temporal,0.0
277,infer,source,5,temporal,107.0
278,train,online,1,temporal,10.0
279,infer,issue,1,temporal,0.0
280,infer,source,5,temporal,107.0
281,train,online,1,temporal,10.0
282,infer,issue,1,temporal,0.0
283,infer,source,5,temporal,107.0
284,train,online,1,temporal,11.0
285,infer,issue,1,temporal,0.0
286,infer,source,5,temporal,107.0
287,train,online,1,temporal,10.0
288,infer,issue,1,temporal,0.0
289,infer,source,5,temporal,108.0
290,train,online,1,temporal,10.0
291,infer,issue,1,temporal,0.0
292,infer,source,5,temporal,108.0
293,train,online,1,temporal,11.0
294,infer,issue,1,temporal,0.0
295,infer,source,5,temporal,107.0
296,train,online,1,temporal,11.0
297,infer,issue,1,temporal,0.0
298,infer,source,5,temporal,107.0
299,train,online,1,temporal,11.0
300,infer,issue,1,temporal,0.0
301,infer,source,5,temporal,108.0
302,train,online,1,temporal,10.0
303,infer,issue,1,temporal,0.0
304,infer,source,5,temporal,109.0
305,train,online,1,temporal,10.0
306,infer,issue,1,temporal,0.0
307,infer,source,5,temporal,111.0
308,train,online,1,temporal,11.0
309,infer,issue,1,temporal,0.0
310,infer,source,5,temporal,114.0
311,train,online,1,temporal,11.0
312,infer,issue,1,temporal,0.0
313,infer,source,5,temporal,109.0
314,train,online,1,temporal,10.0
315,infer,issue,1,temporal,0.0
316,infer,source,5,temporal,109.0
317,train,online,1,temporal,10.0
318,infer,issue,1,temporal,0.0
319,infer,source,5,temporal,110.0
320,train,online,1,temporal,10.0
321,infer,issue,1,temporal,0.0
322,infer,source,5,temporal,109.0
323,train,online,1,temporal,11.0
324,infer,issue,1,temporal,0.0
325,infer,source,5,temporal,109.0
326,train,online,1,temporal,10.0
327,infer,issue,1,temporal,0.0
328,infer,source,5,temporal,110.0
329,train,online,1,temporal,10.0
330,infer,issue,1,temporal,0.0
331,infer,source,5,temporal,109.0
332,train,online,1,temporal,14.0
333,infer,issue,1,temporal,0.0
334,infer,source,5,temporal,110.0
335,train,online,1,temporal,11.0
336,infer,issue,1,temporal,0.0
337,infer,source,5,temporal,111.0
338,train,online,1,temporal,11.0
