step,action,action_type,documents,experiment,total_seconds
0,train,batch,1251,release-file,1738.0
1,infer,issues,133,release-file,0.0
2,infer,source,40,release-file,617.0
3,train,batch,3283,changeset-True-True-False-True,6471.0
4,infer,issues,133,changeset-True-True-False-True,0.0
5,infer,source,40,changeset-True-True-False-True,1134.0
6,train,online,2916,temporal,4705.0
7,infer,issue,1,temporal,0.0
8,infer,source,23,temporal,960.0
9,train,online,1,temporal,38.0
10,infer,issue,1,temporal,0.0
11,infer,source,23,temporal,964.0
12,train,online,12,temporal,59.0
13,infer,issue,1,temporal,0.0
14,infer,source,23,temporal,969.0
15,train,online,1,temporal,38.0
16,infer,issue,1,temporal,0.0
17,infer,source,23,temporal,979.0
18,train,online,1,temporal,38.0
19,infer,issue,1,temporal,1.0
20,infer,source,23,temporal,967.0
21,train,online,1,temporal,38.0
22,infer,issue,1,temporal,0.0
23,infer,source,23,temporal,962.0
24,train,online,1,temporal,38.0
25,infer,issue,1,temporal,0.0
26,infer,source,23,temporal,958.0
27,train,online,1,temporal,38.0
28,infer,issue,1,temporal,0.0
29,infer,source,23,temporal,960.0
30,train,online,1,temporal,38.0
31,infer,issue,1,temporal,0.0
32,infer,source,23,temporal,958.0
33,train,online,2,temporal,39.0
34,infer,issue,1,temporal,0.0
35,infer,source,24,temporal,962.0
36,train,online,1,temporal,38.0
37,infer,issue,1,temporal,0.0
38,infer,source,24,temporal,965.0
39,train,online,1,temporal,39.0
40,infer,issue,1,temporal,0.0
41,infer,source,24,temporal,956.0
42,train,online,6,temporal,47.0
43,infer,issue,1,temporal,0.0
44,infer,source,24,temporal,967.0
45,train,online,1,temporal,38.0
46,infer,issue,1,temporal,0.0
47,infer,source,24,temporal,966.0
48,train,online,1,temporal,40.0
49,infer,issue,1,temporal,0.0
50,infer,source,24,temporal,971.0
51,train,online,1,temporal,38.0
52,infer,issue,1,temporal,0.0
53,infer,source,24,temporal,967.0
54,train,online,1,temporal,38.0
55,infer,issue,1,temporal,0.0
56,infer,source,24,temporal,969.0
57,train,online,1,temporal,38.0
58,infer,issue,1,temporal,1.0
59,infer,source,24,temporal,964.0
60,train,online,1,temporal,38.0
61,infer,issue,1,temporal,0.0
62,infer,source,24,temporal,967.0
63,train,online,1,temporal,38.0
64,infer,issue,1,temporal,0.0
65,infer,source,24,temporal,971.0
66,train,online,1,temporal,38.0
67,infer,issue,1,temporal,1.0
68,infer,source,24,temporal,960.0
69,train,online,2,temporal,40.0
70,infer,issue,1,temporal,0.0
71,infer,source,24,temporal,969.0
72,train,online,2,temporal,39.0
73,infer,issue,1,temporal,1.0
74,infer,source,25,temporal,963.0
75,train,online,1,temporal,39.0
76,infer,issue,1,temporal,0.0
77,infer,source,25,temporal,970.0
78,train,online,1,temporal,38.0
79,infer,issue,1,temporal,1.0
80,infer,source,25,temporal,976.0
81,train,online,1,temporal,38.0
82,infer,issue,1,temporal,0.0
83,infer,source,25,temporal,982.0
84,train,online,1,temporal,38.0
85,infer,issue,1,temporal,0.0
86,infer,source,25,temporal,974.0
87,train,online,1,temporal,39.0
88,infer,issue,1,temporal,0.0
89,infer,source,25,temporal,966.0
90,train,online,2,temporal,39.0
91,infer,issue,1,temporal,0.0
92,infer,source,25,temporal,972.0
93,train,online,1,temporal,38.0
94,infer,issue,1,temporal,0.0
95,infer,source,25,temporal,961.0
96,train,online,1,temporal,38.0
97,infer,issue,1,temporal,0.0
98,infer,source,25,temporal,966.0
99,train,online,1,temporal,38.0
100,infer,issue,1,temporal,0.0
101,infer,source,25,temporal,962.0
102,train,online,1,temporal,38.0
103,infer,issue,1,temporal,0.0
104,infer,source,25,temporal,966.0
105,train,online,1,temporal,38.0
106,infer,issue,1,temporal,0.0
107,infer,source,25,temporal,963.0
108,train,online,2,temporal,40.0
109,infer,issue,1,temporal,0.0
110,infer,source,25,temporal,964.0
111,train,online,1,temporal,38.0
112,infer,issue,1,temporal,0.0
113,infer,source,25,temporal,966.0
114,train,online,1,temporal,38.0
115,infer,issue,1,temporal,1.0
116,infer,source,25,temporal,961.0
117,train,online,1,temporal,38.0
118,infer,issue,1,temporal,0.0
119,infer,source,25,temporal,968.0
120,train,online,1,temporal,38.0
121,infer,issue,1,temporal,0.0
122,infer,source,25,temporal,963.0
123,train,online,1,temporal,38.0
124,infer,issue,1,temporal,0.0
125,infer,source,25,temporal,965.0
126,train,online,3,temporal,42.0
127,infer,issue,1,temporal,0.0
128,infer,source,25,temporal,962.0
129,train,online,1,temporal,38.0
130,infer,issue,1,temporal,0.0
131,infer,source,25,temporal,965.0
132,train,online,2,temporal,40.0
