step,action,action_type,documents,experiment,total_seconds
0,train,batch,4481,release-file,3032.0
1,infer,issues,137,release-file,0.0
2,infer,source,26,release-file,675.0
3,train,batch,4616,changeset-True-True-False-True,6136.0
4,infer,issues,137,changeset-True-True-False-True,1.0
5,infer,source,26,changeset-True-True-False-True,916.0
6,train,online,3662,temporal,7653.0
7,infer,issue,1,temporal,0.0
8,infer,source,22,temporal,846.0
9,train,online,396,temporal,817.0
10,infer,issue,1,temporal,0.0
11,infer,source,23,temporal,877.0
12,train,online,91,temporal,211.0
13,infer,issue,1,temporal,0.0
14,infer,source,24,temporal,876.0
15,train,online,59,temporal,174.0
16,infer,issue,1,temporal,0.0
17,infer,source,25,temporal,895.0
18,train,online,1,temporal,27.0
19,infer,issue,1,temporal,0.0
20,infer,source,25,temporal,888.0
21,train,online,21,temporal,69.0
22,infer,issue,1,temporal,0.0
23,infer,source,25,temporal,894.0
24,train,online,36,temporal,101.0
25,infer,issue,1,temporal,0.0
26,infer,source,25,temporal,894.0
27,train,online,10,temporal,47.0
28,infer,issue,1,temporal,0.0
29,infer,source,25,temporal,899.0
30,train,online,19,temporal,75.0
31,infer,issue,1,temporal,0.0
32,infer,source,25,temporal,903.0
33,train,online,1,temporal,28.0
34,infer,issue,1,temporal,0.0
35,infer,source,25,temporal,905.0
36,train,online,1,temporal,27.0
37,infer,issue,1,temporal,0.0
38,infer,source,25,temporal,905.0
39,train,online,1,temporal,27.0
40,infer,issue,1,temporal,0.0
41,infer,source,25,temporal,909.0
42,train,online,1,temporal,27.0
43,infer,issue,1,temporal,1.0
44,infer,source,25,temporal,906.0
45,train,online,1,temporal,27.0
46,infer,issue,1,temporal,1.0
47,infer,source,25,temporal,904.0
48,train,online,1,temporal,27.0
49,infer,issue,1,temporal,0.0
50,infer,source,25,temporal,908.0
51,train,online,2,temporal,30.0
52,infer,issue,1,temporal,0.0
53,infer,source,25,temporal,903.0
54,train,online,1,temporal,27.0
55,infer,issue,1,temporal,0.0
56,infer,source,25,temporal,909.0
57,train,online,1,temporal,27.0
58,infer,issue,1,temporal,0.0
59,infer,source,25,temporal,902.0
60,train,online,1,temporal,27.0
61,infer,issue,1,temporal,0.0
62,infer,source,25,temporal,912.0
63,train,online,3,temporal,32.0
64,infer,issue,1,temporal,0.0
65,infer,source,25,temporal,902.0
66,train,online,1,temporal,28.0
67,infer,issue,1,temporal,0.0
68,infer,source,25,temporal,909.0
69,train,online,1,temporal,27.0
70,infer,issue,1,temporal,0.0
71,infer,source,25,temporal,903.0
72,train,online,2,temporal,30.0
73,infer,issue,1,temporal,0.0
74,infer,source,25,temporal,909.0
75,train,online,1,temporal,27.0
76,infer,issue,1,temporal,0.0
77,infer,source,25,temporal,903.0
78,train,online,1,temporal,27.0
79,infer,issue,1,temporal,0.0
80,infer,source,25,temporal,910.0
81,train,online,1,temporal,28.0
82,infer,issue,1,temporal,0.0
83,infer,source,25,temporal,903.0
84,train,online,1,temporal,27.0
85,infer,issue,1,temporal,0.0
86,infer,source,25,temporal,910.0
87,train,online,1,temporal,27.0
88,infer,issue,1,temporal,0.0
89,infer,source,25,temporal,903.0
90,train,online,1,temporal,28.0
91,infer,issue,1,temporal,0.0
92,infer,source,25,temporal,912.0
93,train,online,1,temporal,28.0
94,infer,issue,1,temporal,0.0
95,infer,source,25,temporal,905.0
96,train,online,1,temporal,28.0
97,infer,issue,1,temporal,0.0
98,infer,source,25,temporal,908.0
99,train,online,2,temporal,30.0
100,infer,issue,1,temporal,0.0
101,infer,source,25,temporal,904.0
102,train,online,1,temporal,27.0
103,infer,issue,1,temporal,0.0
104,infer,source,25,temporal,907.0
105,train,online,1,temporal,28.0
106,infer,issue,1,temporal,0.0
107,infer,source,25,temporal,906.0
108,train,online,1,temporal,28.0
109,infer,issue,1,temporal,0.0
110,infer,source,25,temporal,908.0
111,train,online,1,temporal,28.0
112,infer,issue,1,temporal,0.0
113,infer,source,25,temporal,906.0
114,train,online,1,temporal,27.0
115,infer,issue,1,temporal,0.0
116,infer,source,25,temporal,907.0
117,train,online,1,temporal,27.0
118,infer,issue,1,temporal,0.0
119,infer,source,25,temporal,906.0
120,train,online,1,temporal,28.0
121,infer,issue,1,temporal,0.0
122,infer,source,25,temporal,907.0
123,train,online,1,temporal,28.0
124,infer,issue,1,temporal,0.0
125,infer,source,25,temporal,906.0
126,train,online,1,temporal,28.0
127,infer,issue,1,temporal,0.0
128,infer,source,25,temporal,905.0
129,train,online,1,temporal,27.0
130,infer,issue,1,temporal,0.0
131,infer,source,25,temporal,915.0
132,train,online,1,temporal,28.0
133,infer,issue,1,temporal,0.0
134,infer,source,25,temporal,902.0
135,train,online,1,temporal,28.0
136,infer,issue,1,temporal,0.0
137,infer,source,25,temporal,914.0
138,train,online,1,temporal,28.0
139,infer,issue,1,temporal,0.0
140,infer,source,25,temporal,902.0
141,train,online,2,temporal,30.0
142,infer,issue,1,temporal,0.0
143,infer,source,25,temporal,911.0
144,train,online,1,temporal,28.0
145,infer,issue,1,temporal,0.0
146,infer,source,25,temporal,902.0
147,train,online,1,temporal,27.0
148,infer,issue,1,temporal,0.0
149,infer,source,25,temporal,908.0
150,train,online,1,temporal,28.0
151,infer,issue,1,temporal,0.0
152,infer,source,25,temporal,902.0
153,train,online,1,temporal,27.0
154,infer,issue,1,temporal,0.0
155,infer,source,25,temporal,909.0
156,train,online,2,temporal,30.0
157,infer,issue,1,temporal,0.0
158,infer,source,25,temporal,904.0
159,train,online,1,temporal,27.0
