step,action,action_type,documents,experiment,total_seconds
0,train,batch,1615,release-file,2330.0
1,infer,issues,222,release-file,0.0
2,infer,source,28,release-file,796.0
3,train,batch,2584,changeset-True-True-False-True,7417.0
4,infer,issues,222,changeset-True-True-False-True,1.0
5,infer,source,28,changeset-True-True-False-True,1183.0
6,train,online,1884,temporal,4947.0
7,infer,issue,1,temporal,0.0
8,infer,source,21,temporal,766.0
9,train,online,7,temporal,40.0
10,infer,issue,1,temporal,1.0
11,infer,source,21,temporal,774.0
12,train,online,133,temporal,304.0
13,infer,issue,1,temporal,0.0
14,infer,source,23,temporal,800.0
15,train,online,10,temporal,46.0
16,infer,issue,1,temporal,0.0
17,infer,source,23,temporal,806.0
18,train,online,48,temporal,423.0
19,infer,issue,1,temporal,0.0
20,infer,source,23,temporal,875.0
21,train,online,2,temporal,31.0
22,infer,issue,1,temporal,0.0
23,infer,source,23,temporal,870.0
24,train,online,204,temporal,473.0
25,infer,issue,1,temporal,0.0
26,infer,source,27,temporal,903.0
27,train,online,1,temporal,28.0
28,infer,issue,1,temporal,1.0
29,infer,source,27,temporal,899.0
30,train,online,4,temporal,35.0
31,infer,issue,1,temporal,0.0
32,infer,source,27,temporal,906.0
33,train,online,3,temporal,33.0
34,infer,issue,1,temporal,0.0
35,infer,source,27,temporal,904.0
36,train,online,3,temporal,34.0
37,infer,issue,1,temporal,0.0
38,infer,source,27,temporal,904.0
39,train,online,4,temporal,35.0
40,infer,issue,1,temporal,0.0
41,infer,source,27,temporal,913.0
42,train,online,1,temporal,101.0
43,infer,issue,1,temporal,0.0
44,infer,source,27,temporal,945.0
45,train,online,1,temporal,28.0
46,infer,issue,1,temporal,1.0
47,infer,source,27,temporal,949.0
48,train,online,2,temporal,31.0
49,infer,issue,1,temporal,1.0
50,infer,source,27,temporal,941.0
51,train,online,1,temporal,29.0
52,infer,issue,1,temporal,0.0
53,infer,source,27,temporal,948.0
54,train,online,1,temporal,28.0
55,infer,issue,1,temporal,0.0
56,infer,source,27,temporal,941.0
57,train,online,1,temporal,28.0
58,infer,issue,1,temporal,1.0
59,infer,source,27,temporal,949.0
60,train,online,2,temporal,31.0
61,infer,issue,1,temporal,0.0
62,infer,source,27,temporal,942.0
63,train,online,1,temporal,28.0
64,infer,issue,1,temporal,1.0
65,infer,source,27,temporal,948.0
66,train,online,1,temporal,28.0
67,infer,issue,1,temporal,1.0
68,infer,source,27,temporal,942.0
69,train,online,1,temporal,29.0
70,infer,issue,1,temporal,0.0
71,infer,source,27,temporal,948.0
72,train,online,2,temporal,31.0
73,infer,issue,1,temporal,0.0
74,infer,source,27,temporal,943.0
75,train,online,1,temporal,29.0
76,infer,issue,1,temporal,0.0
77,infer,source,27,temporal,947.0
78,train,online,1,temporal,157.0
79,infer,issue,1,temporal,0.0
80,infer,source,27,temporal,982.0
81,train,online,1,temporal,28.0
82,infer,issue,1,temporal,1.0
83,infer,source,27,temporal,974.0
84,train,online,2,temporal,31.0
85,infer,issue,1,temporal,0.0
86,infer,source,27,temporal,982.0
87,train,online,1,temporal,28.0
88,infer,issue,1,temporal,1.0
89,infer,source,27,temporal,975.0
90,train,online,1,temporal,28.0
91,infer,issue,1,temporal,1.0
92,infer,source,27,temporal,979.0
93,train,online,1,temporal,29.0
94,infer,issue,1,temporal,0.0
95,infer,source,27,temporal,978.0
96,train,online,1,temporal,29.0
97,infer,issue,1,temporal,0.0
98,infer,source,27,temporal,978.0
99,train,online,1,temporal,29.0
100,infer,issue,1,temporal,0.0
101,infer,source,27,temporal,981.0
102,train,online,1,temporal,31.0
103,infer,issue,1,temporal,0.0
104,infer,source,27,temporal,979.0
105,train,online,1,temporal,29.0
106,infer,issue,1,temporal,0.0
107,infer,source,27,temporal,985.0
108,train,online,1,temporal,29.0
109,infer,issue,1,temporal,0.0
110,infer,source,27,temporal,978.0
111,train,online,1,temporal,29.0
112,infer,issue,1,temporal,0.0
113,infer,source,27,temporal,989.0
114,train,online,1,temporal,29.0
115,infer,issue,1,temporal,0.0
116,infer,source,27,temporal,979.0
117,train,online,1,temporal,29.0
118,infer,issue,1,temporal,0.0
119,infer,source,27,temporal,984.0
120,train,online,1,temporal,28.0
121,infer,issue,1,temporal,1.0
122,infer,source,27,temporal,981.0
123,train,online,1,temporal,29.0
124,infer,issue,1,temporal,0.0
125,infer,source,27,temporal,983.0
126,train,online,1,temporal,29.0
127,infer,issue,1,temporal,0.0
128,infer,source,27,temporal,988.0
129,train,online,2,temporal,31.0
130,infer,issue,1,temporal,0.0
131,infer,source,27,temporal,978.0
132,train,online,1,temporal,29.0
133,infer,issue,1,temporal,0.0
134,infer,source,27,temporal,987.0
135,train,online,1,temporal,29.0
136,infer,issue,1,temporal,0.0
137,infer,source,27,temporal,980.0
138,train,online,1,temporal,29.0
139,infer,issue,1,temporal,0.0
140,infer,source,27,temporal,987.0
141,train,online,1,temporal,29.0
142,infer,issue,1,temporal,0.0
143,infer,source,27,temporal,983.0
144,train,online,2,temporal,31.0
145,infer,issue,1,temporal,0.0
146,infer,source,27,temporal,983.0
147,infer,issue,1,temporal,0.0
148,infer,source,27,temporal,984.0
149,train,online,1,temporal,29.0
150,infer,issue,1,temporal,1.0
151,infer,source,27,temporal,983.0
152,train,online,1,temporal,29.0
153,infer,issue,1,temporal,0.0
154,infer,source,27,temporal,991.0
155,train,online,1,temporal,29.0
156,infer,issue,1,temporal,0.0
157,infer,source,27,temporal,983.0
158,train,online,1,temporal,29.0
159,infer,issue,1,temporal,0.0
160,infer,source,27,temporal,987.0
161,train,online,1,temporal,29.0
162,infer,issue,1,temporal,0.0
163,infer,source,27,temporal,982.0
164,train,online,1,temporal,29.0
165,infer,issue,1,temporal,0.0
166,infer,source,27,temporal,984.0
167,train,online,1,temporal,28.0
168,infer,issue,1,temporal,1.0
169,infer,source,27,temporal,981.0
170,train,online,1,temporal,29.0
171,infer,issue,1,temporal,0.0
172,infer,source,27,temporal,987.0
173,train,online,1,temporal,29.0
174,infer,issue,1,temporal,0.0
175,infer,source,27,temporal,993.0
176,train,online,1,temporal,29.0
177,infer,issue,1,temporal,0.0
178,infer,source,27,temporal,985.0
179,train,online,1,temporal,29.0
180,infer,issue,1,temporal,0.0
181,infer,source,27,temporal,991.0
182,train,online,1,temporal,29.0
183,infer,issue,1,temporal,0.0
184,infer,source,27,temporal,985.0
185,train,online,1,temporal,28.0
186,infer,issue,1,temporal,1.0
187,infer,source,27,temporal,986.0
188,train,online,1,temporal,29.0
189,infer,issue,1,temporal,0.0
190,infer,source,27,temporal,983.0
191,train,online,1,temporal,29.0
192,infer,issue,1,temporal,0.0
193,infer,source,27,temporal,984.0
194,train,online,1,temporal,29.0
195,infer,issue,1,temporal,0.0
196,infer,source,27,temporal,988.0
197,train,online,1,temporal,29.0
198,infer,issue,1,temporal,1.0
199,infer,source,27,temporal,982.0
200,train,online,1,temporal,29.0
201,infer,issue,1,temporal,0.0
202,infer,source,27,temporal,987.0
203,train,online,3,temporal,33.0
204,infer,issue,1,temporal,1.0
205,infer,source,27,temporal,982.0
206,train,online,1,temporal,29.0
207,infer,issue,1,temporal,0.0
208,infer,source,27,temporal,990.0
209,train,online,1,temporal,28.0
210,infer,issue,1,temporal,0.0
211,infer,source,27,temporal,983.0
212,train,online,1,temporal,29.0
213,infer,issue,1,temporal,0.0
214,infer,source,27,temporal,986.0
215,train,online,2,temporal,370.0
216,infer,issue,1,temporal,0.0
217,infer,source,27,temporal,1065.0
218,train,online,1,temporal,31.0
219,infer,issue,1,temporal,0.0
220,infer,source,27,temporal,1058.0
221,train,online,1,temporal,29.0
222,infer,issue,1,temporal,0.0
223,infer,source,27,temporal,1063.0
224,train,online,1,temporal,29.0
225,infer,issue,1,temporal,1.0
226,infer,source,27,temporal,1065.0
227,train,online,1,temporal,30.0
228,infer,issue,1,temporal,0.0
229,infer,source,27,temporal,1056.0
230,train,online,1,temporal,29.0
231,infer,issue,1,temporal,0.0
232,infer,source,27,temporal,1062.0
233,train,online,1,temporal,29.0
234,infer,issue,1,temporal,0.0
235,infer,source,27,temporal,1058.0
236,train,online,1,temporal,30.0
237,infer,issue,1,temporal,0.0
238,infer,source,27,temporal,1062.0
239,train,online,1,temporal,30.0
240,infer,issue,1,temporal,0.0
241,infer,source,27,temporal,1067.0
242,train,online,1,temporal,29.0
243,infer,issue,1,temporal,1.0
244,infer,source,27,temporal,1058.0
245,train,online,1,temporal,29.0
246,infer,issue,1,temporal,0.0
247,infer,source,27,temporal,1066.0
248,train,online,1,temporal,29.0
249,infer,issue,1,temporal,0.0
250,infer,source,27,temporal,1061.0
251,train,online,1,temporal,28.0
252,infer,issue,1,temporal,1.0
253,infer,source,27,temporal,1062.0
254,train,online,1,temporal,29.0
255,infer,issue,1,temporal,0.0
256,infer,source,27,temporal,1067.0
257,train,online,1,temporal,29.0
258,infer,issue,1,temporal,0.0
259,infer,source,27,temporal,1062.0
260,train,online,1,temporal,29.0
261,infer,issue,1,temporal,0.0
262,infer,source,27,temporal,1065.0
263,train,online,1,temporal,389.0
264,infer,issue,1,temporal,0.0
265,infer,source,27,temporal,1141.0
266,train,online,1,temporal,29.0
267,infer,issue,1,temporal,0.0
268,infer,source,27,temporal,1136.0
269,train,online,1,temporal,30.0
270,infer,issue,1,temporal,0.0
271,infer,source,27,temporal,1137.0
272,train,online,1,temporal,29.0
273,infer,issue,1,temporal,0.0
274,infer,source,27,temporal,1142.0
275,train,online,1,temporal,29.0
276,infer,issue,1,temporal,0.0
277,infer,source,27,temporal,1135.0
278,train,online,1,temporal,29.0
279,infer,issue,1,temporal,0.0
280,infer,source,27,temporal,1139.0
281,train,online,1,temporal,29.0
282,infer,issue,1,temporal,0.0
283,infer,source,27,temporal,1144.0
284,train,online,1,temporal,33.0
285,infer,issue,1,temporal,0.0
286,infer,source,27,temporal,1137.0
287,train,online,1,temporal,29.0
288,infer,issue,1,temporal,0.0
289,infer,source,27,temporal,1146.0
290,train,online,1,temporal,30.0
291,infer,issue,1,temporal,0.0
292,infer,source,27,temporal,1145.0
293,train,online,1,temporal,29.0
294,infer,issue,1,temporal,0.0
295,infer,source,27,temporal,1141.0
296,train,online,1,temporal,29.0
297,infer,issue,1,temporal,0.0
298,infer,source,27,temporal,1144.0
299,train,online,1,temporal,29.0
300,infer,issue,1,temporal,0.0
301,infer,source,27,temporal,1141.0
302,train,online,1,temporal,30.0
303,infer,issue,1,temporal,0.0
304,infer,source,27,temporal,1142.0
305,train,online,1,temporal,29.0
306,infer,issue,1,temporal,1.0
307,infer,source,27,temporal,1146.0
308,train,online,1,temporal,29.0
309,infer,issue,1,temporal,0.0
310,infer,source,27,temporal,1141.0
311,train,online,1,temporal,29.0
312,infer,issue,1,temporal,0.0
313,infer,source,27,temporal,1144.0
314,train,online,1,temporal,29.0
315,infer,issue,1,temporal,0.0
316,infer,source,27,temporal,1149.0
317,train,online,1,temporal,29.0
318,infer,issue,1,temporal,0.0
319,infer,source,27,temporal,1142.0
320,train,online,1,temporal,29.0
321,infer,issue,1,temporal,0.0
322,infer,source,27,temporal,1143.0
323,train,online,1,temporal,29.0
324,infer,issue,1,temporal,0.0
